.id	name	NAME	PRECURSORMZ	charge	PRECURSORTYPE	FORMULA	Ontology	INCHIKEY	SMILES	CCS	IONMODE	INSTRUMENT	Comment	Num Peaks
gnps1007	Genistein	Genistein	293.042044123	+1	[M+Na]+	C15H10O5	Isoflavones	TZBJGXHYKVUXJN-UHFFFAOYSA-N	OC1=CC=C(C=C1)C1=COC2=CC(O)=CC(O)=C2C1=O	165.6461331	Positive	qTof	DB#=CCMSLIB00000081285; origin=GNPS	1
gnps1008	Monensin	Monensin	693.418433517	+1	[M+Na]+	C36H62O11	Heterocyclic fatty acids	GAOZTHIDHYLHMS-UHFFFAOYNA-N	CCC1(CCC(O1)C1(C)CCC2(CC(O)C(C)C(O2)C(C)C(OC)C(C)C(O)=O)O1)C1OC(CC1C)C1OC(O)(CO)C(C)CC1C	250.5521431	Positive	qTof	DB#=CCMSLIB00000081287; origin=GNPS	30
gnps1009	15-Acetoxyeremantholide B	15-Acetoxyeremantholide B	421.18569431417	+1	[M+H]+	C22H28O8	Furofurans	UNFGCPCUYMXWDG-UHFFFAOYNA-N	CCC(C)C1(O)OC2CC3(C)OC(=CC3=O)C(COC(C)=O)=CC3OC(=O)C1(C)C23	209.4667451	Positive	qTof	DB#=CCMSLIB00000081289; origin=GNPS	50
gnps101	Cortisone	Cortisone	361.20095045417	+1	[M+H]+	C21H28O5	21-hydroxysteroids	MFYSYFVPBJMHGN-UHFFFAOYNA-N	CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO	187.3103579	Positive	Q-TOF	DB#=CCMSLIB00000077194; origin=GNPS	31
gnps1010	15-Acetoxyeremantholide B	15-Acetoxyeremantholide B	443.167638563	+1	[M+Na]+	C22H28O8	Furofurans	UNFGCPCUYMXWDG-UHFFFAOYNA-N	CCC(C)C1(O)OC2CC3(C)OC(=CC3=O)C(COC(C)=O)=CC3OC(=O)C1(C)C23	206.4467451	Positive	qTof	DB#=CCMSLIB00000081290; origin=GNPS	4
gnps1011	Galgravin	Galgravin	373.20095045417	+1	[M+H]+	C22H28O5	7,7'-epoxylignans	JLJAVUZBHSLLJL-UHFFFAOYNA-N	COC1=C(OC)C=C(C=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C=C1	193.1610616	Positive	qTof	DB#=CCMSLIB00000081291; origin=GNPS	27
gnps1012	Galgravin	Galgravin	395.182894703	+1	[M+Na]+	C22H28O5	7,7'-epoxylignans	JLJAVUZBHSLLJL-UHFFFAOYNA-N	COC1=C(OC)C=C(C=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C=C1	196.712589	Positive	qTof	DB#=CCMSLIB00000081292; origin=GNPS	1
gnps1013	Veraguensin	Veraguensin	373.20095045417	+1	[M+H]+	C22H28O5	7,7'-epoxylignans	JLJAVUZBHSLLJL-UHFFFAOYNA-N	COC1=C(OC)C=C(C=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C=C1	193.1610616	Positive	qTof	DB#=CCMSLIB00000081293; origin=GNPS	29
gnps1014	Veraguensin	Veraguensin	395.182894703	+1	[M+Na]+	C22H28O5	7,7'-epoxylignans	JLJAVUZBHSLLJL-UHFFFAOYNA-N	COC1=C(OC)C=C(C=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C=C1	196.712589	Positive	qTof	DB#=CCMSLIB00000081294; origin=GNPS	3
gnps1015	Veraguensin	Veraguensin	411.1568321021	+1	[M+K]+	C22H28O5	7,7'-epoxylignans	JLJAVUZBHSLLJL-UHFFFAOYNA-N	COC1=C(OC)C=C(C=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C=C1	-1	Positive	qTof	DB#=CCMSLIB00000081295; origin=GNPS	1
gnps1016	rel-Dimethylenedioxy-dimethoxy-epoxylignan	rel-Dimethylenedioxy-dimethoxy-epoxylignan	401.15947956517	+1	[M+H]+	C22H24O7	7,7'-epoxylignans	ISBKEYQPAWAMRF-UHFFFAOYNA-N	COC1=C2OCOC2=CC(=C1)C1OC(C(C)C1C)C1=CC(OC)=C2OCOC2=C1	218.5483964	Positive	qTof	DB#=CCMSLIB00000081296; origin=GNPS	23
gnps1017	rel -Methylenedioxy-tetramethoxy-epoxylignan	rel -Methylenedioxy-tetramethoxy-epoxylignan	417.19077969417	+1	[M+H]+	C23H28O7	7,7'-epoxylignans	RKSBJQZDPAGEQW-UHFFFAOYNA-N	COC1=C2OCOC2=CC(=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C(OC)=C1	214.1988753	Positive	qTof	DB#=CCMSLIB00000081297; origin=GNPS	35
gnps1018	rel-Methylenedioxy-tetramethoxy-epoxylignan	rel-Methylenedioxy-tetramethoxy-epoxylignan	455.1466613421	+1	[M+K]+	C23H28O7	7,7'-epoxylignans	RKSBJQZDPAGEQW-UHFFFAOYNA-N	COC1=C2OCOC2=CC(=C1)C1OC(C(C)C1C)C1=CC(OC)=C(OC)C(OC)=C1	-1	Positive	qTof	DB#=CCMSLIB00000081298; origin=GNPS	1
gnps1019	Techtochrysin	Techtochrysin	269.08083531817	+1	[M+H]+	C16H12O4	7-O-methylated flavonoids	IRZVHDLBAYNPCT-UHFFFAOYSA-N	COC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1	160.6619579	Positive	qTof	DB#=CCMSLIB00000081300; origin=GNPS	45
gnps102	LysoPhosphatidylcholine_16_0	LysoPhosphatidylcholine_16_0	496.33976640417	+1	[M+H]+	C24H50NO7P	1-acyl-sn-glycero-3-phosphocholines	ASWBNKHCZGQVJV-UHFFFAOYNA-N	CCCCCCCCCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C	232.7487207	Positive	Q-TOF	DB#=CCMSLIB00000077195; origin=GNPS	8
gnps1020	Techtochrysin	Techtochrysin	307.0367169661	+1	[M+K]+	C16H12O4	7-O-methylated flavonoids	IRZVHDLBAYNPCT-UHFFFAOYSA-N	COC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1	-1	Positive	qTof	DB#=CCMSLIB00000081301; origin=GNPS	2
gnps1021	3-O-Acetylpinobanksin	3-O-Acetylpinobanksin	315.08631462317	+1	[M+H]+	C17H14O6	Flavanonols	BJYHZSNSMVEQEH-UHFFFAOYNA-N	CC(=O)OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=CC=C1	172.9692873	Positive	qTof	DB#=CCMSLIB00000081302; origin=GNPS	20
gnps1022	3-O-Acetylpinobanksin	3-O-Acetylpinobanksin	353.0421962711	+1	[M+K]+	C17H14O6	Flavanonols	BJYHZSNSMVEQEH-UHFFFAOYNA-N	CC(=O)OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=CC=C1	-1	Positive	qTof	DB#=CCMSLIB00000081303; origin=GNPS	2
gnps1023	3-O-Acetylpinobanksin	3-O-Acetylpinobanksin	313.07066455903	+1	[M-H]+	C17H14O6	Flavanonols	BJYHZSNSMVEQEH-UHFFFAOYNA-N	CC(=O)OC1C(OC2=CC(O)=CC(O)=C2C1=O)C1=CC=CC=C1	-1	Positive	qTof	DB#=CCMSLIB00000081304; origin=GNPS	9
gnps1024	9_10-alpha-Epoxy-eremanthin	9_10-alpha-Epoxy-eremanthin	247.13287089217	+1	[M+H]+	C15H18O3	Gamma butyrolactones	JFFHVIUZNPTGGR-UHFFFAOYNA-N	CC12OC1CC1C(OC(=O)C1=C)C1C2CCC1=C	162.6827816	Positive	qTof	DB#=CCMSLIB00000081305; origin=GNPS	31
gnps1025	9,10-alpha-Epoxy-eremanthin	9,10-alpha-Epoxy-eremanthin	269.114815141	+1	[M+Na]+	C15H18O3	Gamma butyrolactones	JFFHVIUZNPTGGR-UHFFFAOYNA-N	CC12OC1CC1C(OC(=O)C1=C)C1C2CCC1=C	163.0987816	Positive	qTof	DB#=CCMSLIB00000081306; origin=GNPS	7
gnps1026	15-Deoxy-goyazensolide	15-Deoxy-goyazensolide	367.115209065	+1	[M+Na]+	C19H20O6	Terpene lactones	RYBHZNMPMHOBAR-UHFFFAOYNA-N	CC(=C)C(=O)OC1CC2(C)OC(=CC2=O)C(C)=CC2OC(=O)C(=C)C12	183.4464655	Positive	qTof	DB#=CCMSLIB00000081355; origin=GNPS	1
gnps1027	15-Deoxy-goyazensolide	15-Deoxy-goyazensolide	383.0891464641	+1	[M+K]+	C19H20O6	Terpene lactones	RYBHZNMPMHOBAR-UHFFFAOYNA-N	CC(=C)C(=O)OC1CC2(C)OC(=CC2=O)C(C)=CC2OC(=O)C(=C)C12	-1	Positive	qTof	DB#=CCMSLIB00000081379; origin=GNPS	1
gnps1028	Eremanthin	Eremanthin	231.13795627217	+1	[M+H]+	C15H18O2	Guaianolides and derivatives	BWRZDLYJNURUHS-UHFFFAOYNA-N	CC1=CCC2C(OC(=O)C2=C)C2C1CCC2=C	154.0268903	Positive	qTof	DB#=CCMSLIB00000081469; origin=GNPS	35
gnps1029	Eremanthin	Eremanthin	253.119900521	+1	[M+Na]+	C15H18O2	Guaianolides and derivatives	BWRZDLYJNURUHS-UHFFFAOYNA-N	CC1=CCC2C(OC(=O)C2=C)C2C1CCC2=C	158.6985872	Positive	qTof	DB#=CCMSLIB00000081470; origin=GNPS	5
gnps103	1_18_1_lysophosphatidylcholine	1_18_1_lysophosphatidylcholine	522.35541646817	+1	[M+H]+	C26H52NO7P	1-acyl-sn-glycero-3-phosphocholines	YAMUFBLWGFFICM-UHFFFAOYNA-N	CCCCCCCCC=CCCCCCCCC(=O)OCC(O)COP([O-])(=O)OCC[N+](C)(C)C	236.6272534	Positive	Q-TOF	DB#=CCMSLIB00000077196; origin=GNPS	11
gnps1030	Eremantholide A	Eremantholide A	349.16456494517	+1	[M+H]+	C19H24O6	Furofurans	LOILTCBRRAVDAF-UHFFFAOYNA-N	CC(C)C1(O)OC2CC3(C)OC(=CC3=O)C(C)=CC3OC(=O)C1(C)C23	180.9268051	Positive	qTof	DB#=CCMSLIB00000081471; origin=GNPS	12
gnps1031	Eremantholide A	Eremantholide A	371.146509194	+1	[M+Na]+	C19H24O6	Furofurans	LOILTCBRRAVDAF-UHFFFAOYNA-N	CC(C)C1(O)OC2CC3(C)OC(=CC3=O)C(C)=CC3OC(=O)C1(C)C23	184.4349089	Positive	qTof	DB#=CCMSLIB00000081472; origin=GNPS	1
gnps1032	Glaucolide A	Glaucolide A	465.17552355417	+1	[M+H]+	C23H28O10	Terpene lactones	DDRDDFBLSIAXPP-UHFFFAOYNA-N	CC(=O)OCC1=C2C(OC1=O)C1OC1(C)CCC(=O)C(C)(CC2OC(=O)C(C)=C)OC(C)=O	205.1061767	Positive	qTof	DB#=CCMSLIB00000081473; origin=GNPS	1
gnps1033	Glaucolide A	Glaucolide A	487.157467803	+1	[M+Na]+	C23H28O10	Terpene lactones	DDRDDFBLSIAXPP-UHFFFAOYNA-N	CC(=O)OCC1=C2C(OC1=O)C1OC1(C)CCC(=O)C(C)(CC2OC(=O)C(C)=C)OC(C)=O	207.4116233	Positive	qTof	DB#=CCMSLIB00000081474; origin=GNPS	20
gnps1034	4??,5-dihydro-2???,3???-epoxy-15-deoxy-goyazensolide	4??,5-dihydro-2???,3???-epoxy-15-deoxy-goyazensolide	401.120688369	+1	[M+Na]+	C19H22O8	NA	LJMOAYAQYBADNI-UHFFFAOYNA-N	CC1CC2OC(=O)C(=C)C2C(CC2(C)OC1=CC2=O)OC(=O)C1(CO)CO1	-1	Positive	qTof	DB#=CCMSLIB00000081475; origin=GNPS	1
gnps1035	Catechin	Catechin	291.08631462317	+1	[M+H]+	C15H14O6	Catechins	PFTAWBLQPZVEMU-UHFFFAOYNA-N	OC1CC2=C(O)C=C(O)C=C2OC1C1=CC(O)=C(O)C=C1	168.3819713	Positive	qTof	DB#=CCMSLIB00000081476; origin=GNPS	19
gnps1036	Catechin	Catechin	313.068258872	+1	[M+Na]+	C15H14O6	Catechins	PFTAWBLQPZVEMU-UHFFFAOYNA-N	OC1CC2=C(O)C=C(O)C=C2OC1C1=CC(O)=C(O)C=C1	172.7716389	Positive	qTof	DB#=CCMSLIB00000081477; origin=GNPS	3
gnps1037	Epicatechin	Epicatechin	291.08631462317	+1	[M+H]+	C15H14O6	Catechins	PFTAWBLQPZVEMU-UHFFFAOYNA-N	OC1CC2=C(O)C=C(O)C=C2OC1C1=CC(O)=C(O)C=C1	168.3819713	Positive	qTof	DB#=CCMSLIB00000081479; origin=GNPS	24
gnps1038	Epigallocatechin	Epigallocatechin	307.08122924317	+1	[M+H]+	C15H14O7	Epigallocatechins	XMOCLSLCDHWDHP-UHFFFAOYNA-N	OC1CC2=C(O)C=C(O)C=C2OC1C1=CC(O)=C(O)C(O)=C1	171.5987956	Positive	qTof	DB#=CCMSLIB00000081481; origin=GNPS	12
gnps1039	Caseadine	Caseadine	342.16998467717	+1	[M+H]+	C20H23NO4	Protoberberine alkaloids and derivatives	HXHKKYNHNQVAAX-UHFFFAOYNA-N	COC1=C(O)C2=C(CCN3CC4=CC(OC)=C(OC)C=C4CC23)C=C1	182.9820389	Positive	qTof	DB#=CCMSLIB00000081483; origin=GNPS	7
gnps104	Oleic_acid	Oleic_acid	283.26315678717	+1	[M+H]+	C18H34O2	Long-chain fatty acids	ZQPPMHVWECSIRJ-UHFFFAOYSA-N	CCCCCCCCC=CCCCCCCCC(O)=O	179.5693575	Positive	Q-TOF	DB#=CCMSLIB00000077197; origin=GNPS	455
gnps1040	Budlein A	Budlein A	375.14382950017	+1	[M+H]+	C20H22O7	Terpene lactones	BMVJFNLJSZHNNS-UHFFFAOYNA-N	CC=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(CO)=CC2OC(=O)C(=C)C12	187.9575832	Positive	qTof	DB#=CCMSLIB00000081484; origin=GNPS	39
gnps1041	Centratherin	Centratherin	375.14382950017	+1	[M+H]+	C20H22O7	Terpene lactones	BMVJFNLJSZHNNS-UHFFFAOYNA-N	CC=C(C)C(=O)OC1CC2(C)OC(=CC2=O)C(CO)=CC2OC(=O)C(=C)C12	187.9575832	Positive	qTof	DB#=CCMSLIB00000081485; origin=GNPS	39
gnps1042	3,4,5-Trimethoxy_ cinnamic acid	3,4,5-Trimethoxy_ cinnamic acid	239.09140000317	+1	[M+H]+	C12H14O5	Coumaric acids and derivatives	YTFVRYKNXDADBI-UHFFFAOYSA-N	COC1=CC(C=CC(O)=O)=CC(OC)=C1OC	171.0928759	Positive	qTof	DB#=CCMSLIB00000081545; origin=GNPS	38
gnps1043	Dihydropiplartine	Dihydropiplartine	320.14924923217	+1	[M+H]+	C17H21NO5	Cinnamic acids and derivatives	HPXUNEGPCPQBQY-UHFFFAOYSA-N	COC1=CC(C=CC(=O)N2CCCCC2=O)=CC(OC)=C1OC	-1	Positive	qTof	DB#=CCMSLIB00000081546; origin=GNPS	18
gnps1044	Dihydropiplartine	Dihydropiplartine	342.131193481	+1	[M+Na]+	C17H21NO5	Cinnamic acids and derivatives	HPXUNEGPCPQBQY-UHFFFAOYSA-N	COC1=CC(C=CC(=O)N2CCCCC2=O)=CC(OC)=C1OC	-1	Positive	qTof	DB#=CCMSLIB00000081547; origin=GNPS	39
gnps1045	Dihydropiplartine	Dihydropiplartine	221.14924923217	+1	[M+H-99]+	C17H21NO5	Cinnamic acids and derivatives	HPXUNEGPCPQBQY-UHFFFAOYSA-N	COC1=CC(C=CC(=O)N2CCCCC2=O)=CC(OC)=C1OC	-1	Positive	qTof	DB#=CCMSLIB00000081548; origin=GNPS	50
gnps1046	8,9-Dihydropiplartine	8,9-Dihydropiplartine	320.14924923217	+1	[M+H]+	C17H21NO5	Anisoles	WAGZSQGCUXDBOA-UHFFFAOYSA-N	COC1=CC(CCC(=O)N2CCC=CC2=O)=CC(OC)=C1OC	190.0405869	Positive	qTof	DB#=CCMSLIB00000081549; origin=GNPS	14
gnps1047	8,9-Dihydropiplartine	8,9-Dihydropiplartine	342.131193481	+1	[M+Na]+	C17H21NO5	Anisoles	WAGZSQGCUXDBOA-UHFFFAOYSA-N	COC1=CC(CCC(=O)N2CCC=CC2=O)=CC(OC)=C1OC	189.4205869	Positive	qTof	DB#=CCMSLIB00000081550; origin=GNPS	39
gnps1048	5,6-dihydro-5-hydroxy-1-[(2E)-1-oxo-3-(3,4,5-trimethoxyphenyl)-2-propen-1-yl]-2(1H)-Pyridinone	5,6-dihydro-5-hydroxy-1-[(2E)-1-oxo-3-(3,4,5-trimethoxyphenyl)-2-propen-1-yl]-2(1H)-Pyridinone	356.110458037	+1	[M+Na]+	C17H19NO6	Cinnamic acids and derivatives	OJRCBJBIGZHIRA-UHFFFAOYNA-N	COC1=CC(C=CC(=O)N2CC(O)C=CC2=O)=CC(OC)=C1OC	-1	Positive	qTof	DB#=CCMSLIB00000081551; origin=GNPS	34
gnps1049	5,6-dihydro-6-hydroxy-1-[(2E)-1-oxo-3-(3,4,5-trimethoxyphenyl)-2-propen-1-yl]-2(1H)-Pyridinone	5,6-dihydro-6-hydroxy-1-[(2E)-1-oxo-3-(3,4,5-trimethoxyphenyl)-2-propen-1-yl]-2(1H)-Pyridinone	334.12851378817	+1	[M+H]+	C17H19NO6	Cinnamic acids and derivatives	SDVHSXZSEQRFSU-UHFFFAOYNA-N	COC1=CC(C=CC(=O)N2C(O)CC=CC2=O)=CC(OC)=C1OC	-1	Positive	qTof	DB#=CCMSLIB00000081552; origin=GNPS	24
gnps105	Phytosphingosine	Phytosphingosine	318.30027057217	+1	[M+H]+	C18H39NO3	1,3-aminoalcohols	AERBNCYCJBRYDG-UHFFFAOYNA-N	CCCCCCCCCCCCCCC(O)C(O)C(N)CO	191.2648002	Positive	Q-TOF	DB#=CCMSLIB00000077198; origin=GNPS	32
gnps1050	5,6-dihydro-6-hydroxy-1-[(2E)-1-oxo-3-(3,4,5-trimethoxyphenyl)-2-propen-1-yl]-2(1H)-Pyridinone	5,6-dihydro-6-hydroxy-1-[(2E)-1-oxo-3-(3,4,5-trimethoxyphenyl)-2-propen-1-yl]-2(1H)-Pyridinone	356.110458037	+1	[M+Na]+	C17H19NO6	Cinnamic acids and derivatives	SDVHSXZSEQRFSU-UHFFFAOYNA-N	COC1=CC(C=CC(=O)N2C(O)CC=CC2=O)=CC(OC)=C1OC	-1	Positive	qTof	DB#=CCMSLIB00000081553; origin=GNPS	15
gnps1051	3',4',5'-Trimethoxyacetophenone	3',4',5'-Trimethoxyacetophenone	211.09648538317	+1	[M+H]+	C11H14O4	Alkyl-phenylketones	VUGQIIQFXCXZJU-UHFFFAOYSA-N	COC1=CC(=CC(OC)=C1OC)C(C)=O	159.4535837	Positive	qTof	DB#=CCMSLIB00000081554; origin=GNPS	6
gnps1052	3-Fluoro-4-morpholinoaniline	3-Fluoro-4-morpholinoaniline	197.10846766217	+1	[M+H]+	C10H13FN2O	Phenylmorpholines	FQGIBHQUVCGEAC-UHFFFAOYSA-N	NC1=CC(F)=C(C=C1)N1CCOCC1	-1	Positive	qTof	DB#=CCMSLIB00000081555; origin=GNPS	7
gnps1053	N-(3-Phthalimido-2-(R)-hydroxypropyl)-3-fluoro-4-(morpholinyl)aniline	N-(3-Phthalimido-2-(R)-hydroxypropyl)-3-fluoro-4-(morpholinyl)aniline	400.16671081517	+1	[M+H]+	C21H22FN3O4	Phenylmorpholines	UVDYUDNYSNKZRV-UHFFFAOYNA-N	OC(CNC1=CC(F)=C(C=C1)N1CCOCC1)CN1C(=O)C2=CC=CC=C2C1=O	-1	Positive	qTof	DB#=CCMSLIB00000081556; origin=GNPS	50
gnps1054	(S)-N-[[3-[3-Fluoro-4-(4-morpholinyl)phenyl]-2-oxo-5-oxazolidinyl]methyl]phthalimide	(S)-N-[[3-[3-Fluoro-4-(4-morpholinyl)phenyl]-2-oxo-5-oxazolidinyl]methyl]phthalimide	426.14597537117	+1	[M+H]+	C22H20FN3O5	Phenylmorpholines	FKZUTWSVQLXKQE-UHFFFAOYNA-N	FC1=C(C=CC(=C1)N1CC(CN2C(=O)C3=CC=CC=C3C2=O)OC1=O)N1CCOCC1	-1	Positive	qTof	DB#=CCMSLIB00000081557; origin=GNPS	50
gnps1055	17-hydroxy-3-oxo-, (17??)-19-Norpregna-5(10),9(11)-diene-21-nitrile	17-hydroxy-3-oxo-, (17??)-19-Norpregna-5(10),9(11)-diene-21-nitrile	312.19580550117	+1	[M+H]+	C20H25NO2	Oxosteroids	WUQMVSOZWZOUJR-UHFFFAOYNA-N	CC12CC=C3C(CCC4=C3CCC(=O)C4)C1CCC2(O)CC#N	183.3146498	Positive	qTof	DB#=CCMSLIB00000081558; origin=GNPS	50
gnps1056	19-Norandrosta-4,9-dien-3,17-dione	19-Norandrosta-4,9-dien-3,17-dione	271.16925640017	+1	[M+H]+	C18H22O2	Oxosteroids	BHTWZQKERRCPRZ-UHFFFAOYNA-N	CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2=O	174.5158473	Positive	qTof	DB#=CCMSLIB00000081559; origin=GNPS	50
gnps1057	1-cyclopropyl-6,7-difluoro-1,4-dihydro-8-hydroxy-4-oxo-3-Quinoline-3-carboxylic acid	1-cyclopropyl-6,7-difluoro-1,4-dihydro-8-hydroxy-4-oxo-3-Quinoline-3-carboxylic acid	282.05724055217	+1	[M+H]+	C13H9F2NO4	Quinoline carboxylic acids	NTWOKQCCNHKEIU-UHFFFAOYSA-N	OC(=O)C1=CN(C2CC2)C2=C(O)C(F)=C(F)C=C2C1=O	-1	Positive	qTof	DB#=CCMSLIB00000081561; origin=GNPS	34
gnps1058	Carbamimidothioic acid	Carbamimidothioic acid	206.986855175	+1	[M+Na]+	C3H8N2O3S2	Organosulfonic acids	LTHWZZOUNJCHES-UHFFFAOYSA-N	NC(=N)SCCS(O)(=O)=O	133.7983137	Positive	qTof	DB#=CCMSLIB00000081563; origin=GNPS	16
gnps1059	2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid	2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid	252.02195797017	+1	[M+H]+	C5H9N5O3S2	1,3,5-triazine-2,4-diamines	VOWJSEYJDXBICY-UHFFFAOYSA-N	OS(=O)(=O)CCSC1=NC(=N)NC(=N)N1	-1	Positive	qTof	DB#=CCMSLIB00000081565; origin=GNPS	16
gnps106	Sinapic_acid	Sinapic_acid	225.07574993817	+1	[M+H]+	C11H12O5	Hydroxycinnamic acids	PCMORTLOPMLEFB-UHFFFAOYSA-N	COC1=CC(C=CC(O)=O)=CC(OC)=C1O	149.5705953	Positive	Q-TOF	DB#=CCMSLIB00000077199; origin=GNPS	121
gnps1060	2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid	2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid	274.003902219	+1	[M+Na]+	C5H9N5O3S2	1,3,5-triazine-2,4-diamines	VOWJSEYJDXBICY-UHFFFAOYSA-N	OS(=O)(=O)CCSC1=NC(=N)NC(=N)N1	-1	Positive	qTof	DB#=CCMSLIB00000081566; origin=GNPS	40
gnps1061	2-[[(Guanidino) (imino)methyl]sulfanyl]ethanesulfonic Acid	2-[[(Guanidino) (imino)methyl]sulfanyl]ethanesulfonic Acid	227.02670899817	+1	[M+H]+	C4H10N4O3S2	Organosulfonic acids	MFFQNMFIVBUMBX-UHFFFAOYSA-N	NC(=N)NC(=N)SCCS(O)(=O)=O	-1	Positive	qTof	DB#=CCMSLIB00000081570; origin=GNPS	8
gnps1062	2-[[(Guanidino) (imino)methyl]sulfanyl]ethanesulfonic Acid	2-[[(Guanidino) (imino)methyl]sulfanyl]ethanesulfonic Acid	249.008653247	+1	[M+Na]+	C4H10N4O3S2	Organosulfonic acids	MFFQNMFIVBUMBX-UHFFFAOYSA-N	NC(=N)NC(=N)SCCS(O)(=O)=O	-1	Positive	qTof	DB#=CCMSLIB00000081571; origin=GNPS	16
